Subj1	Subj2	grp	InputFile	\
sub-control001	sub-control002	G11	ISC_sub-control001sub-control002_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control003	G11	ISC_sub-control001sub-control003_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control007	G11	ISC_sub-control001sub-control007_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control009	G11	ISC_sub-control001sub-control009_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control011	G11	ISC_sub-control001sub-control011_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control013	G11	ISC_sub-control001sub-control013_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control015	G11	ISC_sub-control001sub-control015_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control017	G11	ISC_sub-control001sub-control017_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control019	G11	ISC_sub-control001sub-control019_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control021	G11	ISC_sub-control001sub-control021_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control023	G11	ISC_sub-control001sub-control023_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control025	G11	ISC_sub-control001sub-control025_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control027	G11	ISC_sub-control001sub-control027_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control029	G11	ISC_sub-control001sub-control029_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control031	G11	ISC_sub-control001sub-control031_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control033	G11	ISC_sub-control001sub-control033_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control035	G11	ISC_sub-control001sub-control035_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control037	G11	ISC_sub-control001sub-control037_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control039	G11	ISC_sub-control001sub-control039_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control041	G11	ISC_sub-control001sub-control041_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control043	G11	ISC_sub-control001sub-control043_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control045	G11	ISC_sub-control001sub-control045_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control047	G11	ISC_sub-control001sub-control047_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-control049	G11	ISC_sub-control001sub-control049_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental004	G12	ISC_sub-control001sub-experimental004_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental005	G12	ISC_sub-control001sub-experimental005_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental006	G12	ISC_sub-control001sub-experimental006_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental008	G12	ISC_sub-control001sub-experimental008_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental010	G12	ISC_sub-control001sub-experimental010_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental012	G12	ISC_sub-control001sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental014	G12	ISC_sub-control001sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental016	G12	ISC_sub-control001sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental018	G12	ISC_sub-control001sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental020	G12	ISC_sub-control001sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental022	G12	ISC_sub-control001sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental024	G12	ISC_sub-control001sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental026	G12	ISC_sub-control001sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental028	G12	ISC_sub-control001sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental030	G12	ISC_sub-control001sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental032	G12	ISC_sub-control001sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental034	G12	ISC_sub-control001sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental036	G12	ISC_sub-control001sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental038	G12	ISC_sub-control001sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental040	G12	ISC_sub-control001sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental042	G12	ISC_sub-control001sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental044	G12	ISC_sub-control001sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental046	G12	ISC_sub-control001sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental048	G12	ISC_sub-control001sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-control001	sub-experimental050	G12	ISC_sub-control001sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control003	G11	ISC_sub-control002sub-control003_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control007	G11	ISC_sub-control002sub-control007_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control009	G11	ISC_sub-control002sub-control009_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control011	G11	ISC_sub-control002sub-control011_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control013	G11	ISC_sub-control002sub-control013_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control015	G11	ISC_sub-control002sub-control015_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control017	G11	ISC_sub-control002sub-control017_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control019	G11	ISC_sub-control002sub-control019_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control021	G11	ISC_sub-control002sub-control021_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control023	G11	ISC_sub-control002sub-control023_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control025	G11	ISC_sub-control002sub-control025_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control027	G11	ISC_sub-control002sub-control027_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control029	G11	ISC_sub-control002sub-control029_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control031	G11	ISC_sub-control002sub-control031_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control033	G11	ISC_sub-control002sub-control033_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control035	G11	ISC_sub-control002sub-control035_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control037	G11	ISC_sub-control002sub-control037_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control039	G11	ISC_sub-control002sub-control039_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control041	G11	ISC_sub-control002sub-control041_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control043	G11	ISC_sub-control002sub-control043_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control045	G11	ISC_sub-control002sub-control045_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control047	G11	ISC_sub-control002sub-control047_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-control049	G11	ISC_sub-control002sub-control049_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental004	G12	ISC_sub-control002sub-experimental004_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental005	G12	ISC_sub-control002sub-experimental005_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental006	G12	ISC_sub-control002sub-experimental006_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental008	G12	ISC_sub-control002sub-experimental008_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental010	G12	ISC_sub-control002sub-experimental010_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental012	G12	ISC_sub-control002sub-experimental012_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental014	G12	ISC_sub-control002sub-experimental014_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental016	G12	ISC_sub-control002sub-experimental016_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental018	G12	ISC_sub-control002sub-experimental018_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental020	G12	ISC_sub-control002sub-experimental020_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental022	G12	ISC_sub-control002sub-experimental022_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental024	G12	ISC_sub-control002sub-experimental024_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental026	G12	ISC_sub-control002sub-experimental026_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental028	G12	ISC_sub-control002sub-experimental028_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental030	G12	ISC_sub-control002sub-experimental030_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental032	G12	ISC_sub-control002sub-experimental032_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental034	G12	ISC_sub-control002sub-experimental034_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental036	G12	ISC_sub-control002sub-experimental036_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental038	G12	ISC_sub-control002sub-experimental038_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental040	G12	ISC_sub-control002sub-experimental040_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental042	G12	ISC_sub-control002sub-experimental042_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental044	G12	ISC_sub-control002sub-experimental044_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental046	G12	ISC_sub-control002sub-experimental046_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental048	G12	ISC_sub-control002sub-experimental048_task-magictrickwatching_z.nii.gz	\
sub-control002	sub-experimental050	G12	ISC_sub-control002sub-experimental050_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control007	G11	ISC_sub-control003sub-control007_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control009	G11	ISC_sub-control003sub-control009_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control011	G11	ISC_sub-control003sub-control011_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control013	G11	ISC_sub-control003sub-control013_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control015	G11	ISC_sub-control003sub-control015_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control017	G11	ISC_sub-control003sub-control017_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control019	G11	ISC_sub-control003sub-control019_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control021	G11	ISC_sub-control003sub-control021_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control023	G11	ISC_sub-control003sub-control023_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control025	G11	ISC_sub-control003sub-control025_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control027	G11	ISC_sub-control003sub-control027_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control029	G11	ISC_sub-control003sub-control029_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control031	G11	ISC_sub-control003sub-control031_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control033	G11	ISC_sub-control003sub-control033_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control035	G11	ISC_sub-control003sub-control035_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control037	G11	ISC_sub-control003sub-control037_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control039	G11	ISC_sub-control003sub-control039_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control041	G11	ISC_sub-control003sub-control041_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control043	G11	ISC_sub-control003sub-control043_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control045	G11	ISC_sub-control003sub-control045_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control047	G11	ISC_sub-control003sub-control047_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-control049	G11	ISC_sub-control003sub-control049_task-magictrickwatching_z.nii.gz	\
sub-control003	sub-experimental004	G12	ISC_sub-control003sub-experimental004_task-magictrickwatching_z.nii.gz	\
