"ID","BIDS","ableToSee","compliance","answer_tooSlow","curiosity_tooSlow","sleepLastNight","sleepAverage","alcohol","alcoholAmount","rewardEffort","rewardExpectations","comment_task1","comment_task2","comment_task3","comment_exp","sleepBeforeMemoryTest","sleepHours","memoryTestKnown","memoryIntention","rewardBelief","magictrickExperience","connection","comment_memory","daysBetweenExpAndMemory","durPre","durPost","durMemory","durScanningSession","durMainExp","durInSecs_firstBlock","durInMins_firstBlock","durInSecs_secondBlock","durInMins_secondBlock","durInSecs_thirdBlock","durInMins_thirdBlock","durInSecs","durInMins"
"01","sub-control001",7,6,0,0,"7","7-8","no alcohol in the last 24 hours",NA,NA,NA,"Yes! I did like the experiment. I love to solve the problems or puzzles since my childhood. ","I was about to ask this after an experiment!!I think to find out: how do people react while watching an unexpected situation and how do they overcome either by ignoring or trying to solve the issue probably","I think in instruction you can ask people to have food properly but not heavily as it takes more than 2 hours and 30 mins. While instructing inside the MRI room regarding the button press : make sure they are wearing the ear plug after instructions. Its a small thing not an issue. Just it can be included if you feel helpful.",NA,"Yes",50,"Somehow agree","Somehow agree","Not applicable"," Very rarely ","Definitely agree ",NA,8.05446674768572,32,27,92.2700333317121,88,55.1664563934008,789.987383667001,13.16645639445,727.991620229004,12.1331936704834,761.990187074014,12.6998364512336,2279.96919097002,37.999486516167
"02","sub-control002",6,6,0,0,"8","8","no alcohol in the last 24 hours",NA,NA,NA,"I like it because I want to know what happens in my brain, how does it process?","Brain activity, how does the brain concentrate on something",NA,NA,"No",0,"Definitely disagree","Somehow disagree","Not applicable"," Never","Definitely agree ",NA,6.97937137731523,43,26,67.0340499997139,88,54.0667331695557,784.003990148994,13.0667331691499,771.996790322999,12.86661317205,721.990741440997,12.0331790240166,2277.99152191299,37.9665253652165
"03","sub-control003",3,6,0,0,"8.5","8","no alcohol in the last 24 hours",NA,NA,NA,"Yes, the videos of the tricks were fun to watch. The part I didnÂ´t like was that I was tired, so the third block was less interesting, or it was more difficult for me to focus","a particular brain area that lights up when people are more curious about a trick compared to a trick they dont really care about?Perhaps it has to do with how much people think about the mechanics of the trick while watching it, related to how curious they are about it. ","No, as I said, I was noticeably more tired during the third block. Difficult to think of NOTHING during the second scan with a white screen.","- Eye tracker did not work.- We did not change the lights setting. Possible reason why eye tracker did not work. - The experiment inside the scanner took longer:Due to different issues with Matlab we had to stop the experiment and restart the first block. After that, everything went well. ","No",1,"Definitely disagree","Slightly agree","Not applicable"," Never","Definitely agree ","I don't understand the question regarding the first and second part of the study. I think there was only one part, so the number of hours is not a meaningful answer. ",8.81433893518591,24,68,31.5524999976158,103,53.6331565499306,757.989392932999,12.6331565488833,771.991101801003,12.86651836335,747.98985212401,12.4664975354002,2277.97034685801,37.9661724476335
"04","sub-experimental004",3,6,0,0,"7","7","no alcohol in the last 24 hours","0",5,"3","Neutral","How my brain work while my eyes are moving","The result of this experiment",NA,"No",0,"Somehow disagree","Somehow disagree","Slightly disagree"," Never","Definitely disagree","Some magic tricks are rather too dark for me.",8.12914854166684,122,8,57.0941499988238,97,55.1333645939827,788.001875731017,13.1333645955169,727.990794580983,12.133179909683,761.99705250602,12.6999508751003,2277.98972281802,37.9664953803003
"05","sub-experimental005",2,6,0,2,"8","8","no alcohol in the last 24 hours","NONE",6,"4 POUNDS","yes, it was interesting as I had not had an MRI scan before. Also the magic tricks were interesting.","increased brain activation in certain areas when curious and trying to work out the magic trickcuriosity and motivation increase after figuring out magic tricks","some of the magic tricks were hard to see, but i donÂ´t know if my eyes just went blurry towards the end","no eye tracking, pupil not stable","Yes",40,"Somehow disagree","Definitely disagree","Definitely agree "," Never","Definitely agree ",NA,7.70435898148075,36,18,49.6038166681925,102,56.0664980332057,783.989881911984,13.0664980318664,772.007641557982,12.8667940259664,722.021868946991,12.0336978157832,2278.01939241696,37.966989873616
"06","sub-experimental006",7,7,0,35,"8","7","no alcohol in the last 24 hours","0",7,"1","yes= stimulating","eye tracking stimulates brain activity' more brain activity happens after the matrices","how many i got right!","Eye tracker did not work, it was too bright. Problems to create contrast between pupil and cornea. ","Yes",38,"Definitely agree ","Definitely agree ","Not applicable"," Never","Definitely disagree","deception! ",7.48765328703655,299,24,35.033233332634,91,54.6335522254308,758.013133431996,12.6335522238666,772.022529389003,12.8670421564834,748.023445079001,12.4670574179833,2278.0591079,37.9676517983333
"07","sub-control007",7,7,2,1,"6.5","7","no alcohol in the last 24 hours",NA,NA,NA,"Yes, I found it interesting","No idea","I felt like that the screen during the ten minute calibration was too bright",NA,"Yes",46,"Definitely disagree","Definitely disagree","Not applicable"," Very rarely ","Definitely agree ",NA,8.0415945717582,26,11,26.1952666680018,107,-7.33337889909744,699.997266067003,11.6666211011167,775.989519958002,12.9331586659667,801.992065459002,13.3665344243167,2277.97885148401,37.9663141914001
"08","sub-experimental008",3,7,0,10,"7","8","no alcohol in the last 24 hours","0",5,"4","Yes, something different and the tricks were engaging to watch ","To see the correlation between curiosity and judgements  ",NA,NA,"Yes",58,"Definitely disagree","Slightly agree","Slightly disagree"," Never","Definitely agree ","No ",7.0887488888894,21,28,36.2079833308856,NA,-0.333202962080638,700.007822250998,11.6667970375166,775.991512432,12.9331918738667,801.99415803,13.3665693005,2277.993492713,37.9665582118833
"09","sub-control009",3,5,0,0,"7","7","no alcohol in the last 24 hours",NA,NA,NA,"Yes, I thought looking at the magic tricks was interesting","Motivation maybe and whether we are more motivated by challenging tasks","The screen got significantly darker during the third batch of tricks, it was still possible to see the tricks but was a bit harder.","She reported not being able to see properly the last block of magic tricks as they were a little bit too dark. As far as we could see from the control room, the display conditions were the same to previous experience.","Yes",7,"Definitely disagree","Definitely agree ","Not applicable"," Never","Definitely agree ",NA,7.03315054398168,21,65,91.2035000006358,84,-7.03350584506989,777.989649315015,12.9664941552502,739.99018216398,12.333169702733,759.987408290996,12.6664568048499,2277.96723976999,37.9661206628332
"10","sub-experimental010",7,7,0,1,"6","6","no alcohol in the last 24 hours","0",5,"0","Yes, it was interesting and I enjoyed trying to solve the tricks","No idea. ","No. ",NA,"Yes",35,"Definitely disagree","Definitely disagree","Definitely disagree"," Never","Definitely agree ","no",7.14343098379672,67,53,27.381400001049,79,-8.03323433796565,778.005939814,12.9667656635667,739.987573602004,12.3331262267001,760.006761304001,12.6667793550667,2278.00027472001,37.9666712453334
