"ID","BIDS","max","span","response","condition"
"01","sub-control001",2,2,1,298
"01","sub-control001",3,3,1,159
"01","sub-control001",4,4,1,7
"01","sub-control001",5,5,1,73
"01","sub-control001",5,6,0,360
"01","sub-control001",5,6,0,370
"02","sub-control002",2,2,1,462
"02","sub-control002",3,3,1,316
"02","sub-control002",4,4,1,32
"02","sub-control002",5,5,1,83
"02","sub-control002",5,6,0,35
"02","sub-control002",5,6,0,247
"03","sub-control003",2,2,1,485
"03","sub-control003",3,3,1,7
"03","sub-control003",4,4,1,260
"03","sub-control003",5,5,1,407
"03","sub-control003",5,6,0,251
"03","sub-control003",6,6,1,459
"03","sub-control003",7,7,1,450
"03","sub-control003",7,8,0,263
"03","sub-control003",8,8,1,21
"03","sub-control003",8,9,0,18
"03","sub-control003",8,9,0,473
"07","sub-control007",2,2,1,395
"07","sub-control007",3,3,1,99
"07","sub-control007",4,4,1,325
"07","sub-control007",5,5,1,449
"07","sub-control007",5,6,0,126
"07","sub-control007",6,6,1,499
"07","sub-control007",6,7,0,268
"07","sub-control007",6,7,0,181
"09","sub-control009",2,2,1,290
"09","sub-control009",3,3,1,422
"09","sub-control009",4,4,1,465
"09","sub-control009",4,5,0,22
"09","sub-control009",5,5,1,243
"09","sub-control009",5,6,0,346
"09","sub-control009",6,6,1,127
"09","sub-control009",6,7,0,38
"09","sub-control009",6,7,0,140
"11","sub-control011",2,2,1,122
"11","sub-control011",3,3,1,430
"11","sub-control011",4,4,1,450
"11","sub-control011",4,5,0,374
"11","sub-control011",4,5,0,41
"13","sub-control013",2,2,1,283
"13","sub-control013",3,3,1,447
"13","sub-control013",4,4,1,335
"13","sub-control013",4,5,0,250
"13","sub-control013",5,5,1,81
"13","sub-control013",5,6,0,405
"13","sub-control013",6,6,1,273
"13","sub-control013",7,7,1,323
"13","sub-control013",7,8,0,187
"13","sub-control013",7,8,0,369
"15","sub-control015",2,2,1,103
"15","sub-control015",3,3,1,48
"15","sub-control015",4,4,1,311
"15","sub-control015",5,5,1,112
"15","sub-control015",6,6,1,122
"15","sub-control015",6,7,0,145
"15","sub-control015",6,7,0,258
"17","sub-control017",2,2,1,330
"17","sub-control017",3,3,1,281
"17","sub-control017",4,4,1,22
"17","sub-control017",5,5,1,336
"17","sub-control017",5,6,0,142
"17","sub-control017",5,6,0,4
"19","sub-control019",2,2,1,285
"19","sub-control019",3,3,1,32
"19","sub-control019",4,4,1,132
"19","sub-control019",5,5,1,226
"19","sub-control019",5,6,0,101
"19","sub-control019",6,6,1,197
"19","sub-control019",7,7,1,263
"19","sub-control019",7,8,0,267
"19","sub-control019",7,8,0,259
"21","sub-control021",2,2,1,382
"21","sub-control021",3,3,1,62
"21","sub-control021",4,4,1,37
"21","sub-control021",4,5,0,133
"21","sub-control021",5,5,1,330
"21","sub-control021",6,6,1,320
"21","sub-control021",6,7,0,300
"21","sub-control021",6,7,0,435
"23","sub-control023",2,2,1,140
"23","sub-control023",3,3,1,113
"23","sub-control023",4,4,1,71
"23","sub-control023",4,5,0,340
"23","sub-control023",5,5,1,258
"23","sub-control023",6,6,1,478
"23","sub-control023",7,7,1,6
"23","sub-control023",7,8,0,332
"23","sub-control023",7,8,0,1
"25","sub-control025",2,2,1,326
"25","sub-control025",3,3,1,73
"25","sub-control025",4,4,1,84
"25","sub-control025",5,5,1,110
"25","sub-control025",6,6,1,419
"25","sub-control025",6,7,0,78
"25","sub-control025",6,7,0,91
"27","sub-control027",2,2,1,96
"27","sub-control027",3,3,1,301
"27","sub-control027",4,4,1,30
"27","sub-control027",5,5,1,221
"27","sub-control027",6,6,1,268
"27","sub-control027",7,7,1,140
"27","sub-control027",8,8,1,38
"27","sub-control027",8,9,0,273
"27","sub-control027",8,9,0,277
"29","sub-control029",0,2,0,147
"29","sub-control029",2,2,1,498
"29","sub-control029",3,3,1,197
"29","sub-control029",4,4,1,424
"29","sub-control029",4,5,0,10
"29","sub-control029",5,5,1,473
"29","sub-control029",6,6,1,222
"29","sub-control029",7,7,1,84
"29","sub-control029",8,8,1,441
"29","sub-control029",8,9,0,153
"29","sub-control029",8,9,0,130
"31","sub-control031",2,2,1,486
"31","sub-control031",3,3,1,118
"31","sub-control031",4,4,1,495
"31","sub-control031",5,5,1,81
"31","sub-control031",6,6,1,13
"31","sub-control031",6,7,0,277
"31","sub-control031",6,7,0,199
"33","sub-control033",0,2,0,473
"33","sub-control033",0,2,0,123
"35","sub-control035",0,2,0,499
"35","sub-control035",0,2,0,142
"37","sub-control037",2,2,1,402
"37","sub-control037",3,3,1,91
"37","sub-control037",3,4,0,139
"37","sub-control037",4,4,1,193
"37","sub-control037",5,5,1,464
"37","sub-control037",6,6,1,175
"37","sub-control037",6,7,0,122
"37","sub-control037",6,7,0,444
"39","sub-control039",2,2,1,237
"39","sub-control039",3,3,1,144
"39","sub-control039",4,4,1,31
"39","sub-control039",5,5,1,164
"39","sub-control039",6,6,1,20
"39","sub-control039",6,7,0,433
"39","sub-control039",6,7,0,299
"41","sub-control041",2,2,1,263
"41","sub-control041",3,3,1,500
"41","sub-control041",3,4,0,35
"41","sub-control041",4,4,1,248
"41","sub-control041",5,5,1,327
"41","sub-control041",5,6,0,447
"41","sub-control041",6,6,1,230
"41","sub-control041",6,7,0,217
"41","sub-control041",6,7,0,242
"43","sub-control043",0,2,0,196
"43","sub-control043",2,2,1,498
