"ID","BIDS","block","response","key_pressed","rt_ms","condition","trial_number","current_letter","previous_letter"
"01","sub-control001","block1",1,2,895,3,1,2,5
"01","sub-control001","block1",1,2,1457,1,2,7,2
"01","sub-control001","block1",1,2,1547,2,3,7,7
"01","sub-control001","block1",1,2,1292,2,4,13,7
"01","sub-control001","block1",1,2,990,2,5,13,13
"01","sub-control001","block1",1,2,1283,3,6,3,13
"01","sub-control001","block1",3,1,2000,4,7,7,3
"01","sub-control001","block1",1,2,790,5,8,6,7
"01","sub-control001","block1",1,2,984,5,9,14,6
"01","sub-control001","block1",1,2,1110,4,10,13,14
"01","sub-control001","block1",1,2,1035,5,11,4,13
"01","sub-control001","block1",1,2,959,2,12,8,4
"01","sub-control001","block1",1,2,967,5,13,12,8
"01","sub-control001","block1",1,2,1911,5,14,12,12
"01","sub-control001","block1",1,2,1516,4,15,1,12
"01","sub-control001","block1",1,2,1442,4,16,3,1
"01","sub-control001","block1",2,1,1808,4,17,4,3
"01","sub-control001","block1",3,1,2000,2,18,10,4
"01","sub-control001","block1",1,2,1000,4,19,11,10
"01","sub-control001","block1",3,1,2000,4,20,4,11
"01","sub-control001","block2",1,2,1144,4,1,7,4
"01","sub-control001","block2",1,2,962,4,2,5,7
"01","sub-control001","block2",1,2,929,4,3,14,5
"01","sub-control001","block2",1,1,1655,1,4,5,14
"01","sub-control001","block2",3,1,2000,5,5,11,5
"01","sub-control001","block2",2,1,1512,3,6,14,11
"01","sub-control001","block2",1,2,1503,5,7,3,14
"01","sub-control001","block2",1,2,1053,5,8,4,3
"01","sub-control001","block2",1,2,1564,2,9,5,4
"01","sub-control001","block2",1,2,1247,3,10,10,5
"01","sub-control001","block2",1,2,1064,5,11,2,10
"01","sub-control001","block2",1,2,1365,2,12,7,2
"01","sub-control001","block2",1,1,1084,1,13,2,7
"01","sub-control001","block2",1,1,1811,1,14,7,2
"01","sub-control001","block2",1,2,906,2,15,14,7
"01","sub-control001","block2",1,2,1062,5,16,4,14
"01","sub-control001","block2",1,2,1033,2,17,4,4
"01","sub-control001","block2",2,1,1193,4,18,14,4
"01","sub-control001","block2",1,2,934,3,19,9,14
"01","sub-control001","block2",1,2,811,2,20,13,9
"01","sub-control001","block3",1,2,1468,5,1,12,13
"01","sub-control001","block3",1,2,827,4,2,9,12
"01","sub-control001","block3",1,2,805,3,3,3,9
"01","sub-control001","block3",1,2,1073,3,4,3,3
"01","sub-control001","block3",1,2,1185,2,5,7,3
"01","sub-control001","block3",1,2,1148,3,6,14,7
"01","sub-control001","block3",1,2,1090,5,7,13,14
"01","sub-control001","block3",1,1,1810,1,8,14,13
"01","sub-control001","block3",3,1,2000,1,9,13,14
"01","sub-control001","block3",1,2,881,5,10,5,13
"01","sub-control001","block3",1,2,850,3,11,5,5
"01","sub-control001","block3",1,2,1437,2,12,14,5
"01","sub-control001","block3",1,2,1471,2,13,13,14
"01","sub-control001","block3",1,2,779,4,14,1,13
"01","sub-control001","block3",1,2,882,4,15,9,1
"01","sub-control001","block3",1,1,1410,1,16,1,9
"01","sub-control001","block3",1,2,847,3,17,8,1
"01","sub-control001","block3",1,1,1465,1,18,1,8
"01","sub-control001","block3",1,2,647,4,19,5,1
"01","sub-control001","block3",1,2,529,5,20,7,5
"01","sub-control001","block4",1,2,1934,2,1,15,7
"01","sub-control001","block4",1,2,750,4,2,3,15
"01","sub-control001","block4",1,1,740,1,3,15,3
"01","sub-control001","block4",1,2,825,4,4,1,15
"01","sub-control001","block4",1,1,752,1,5,15,1
"01","sub-control001","block4",1,2,618,2,6,8,15
"01","sub-control001","block4",1,2,850,2,7,9,8
"01","sub-control001","block4",1,2,981,5,8,7,9
"01","sub-control001","block4",1,2,1137,5,9,4,7
"01","sub-control001","block4",1,2,1005,5,10,3,4
"01","sub-control001","block4",1,1,1125,1,11,4,3
"01","sub-control001","block4",1,2,980,4,12,9,4
"01","sub-control001","block4",1,2,1075,2,13,11,9
"01","sub-control001","block4",1,2,884,4,14,14,11
"01","sub-control001","block4",1,2,1494,3,15,2,14
"01","sub-control001","block4",1,2,1053,3,16,13,2
"01","sub-control001","block4",1,2,1097,3,17,4,13
"01","sub-control001","block4",1,2,912,3,18,1,4
"01","sub-control001","block4",1,2,850,4,19,14,1
"01","sub-control001","block4",2,1,1705,4,20,4,14
"01","sub-control001","training",3,1,2000,1,1,15,0
"01","sub-control001","training",3,1,2000,3,2,10,15
"01","sub-control001","training",3,1,2000,3,3,12,10
"01","sub-control001","training",3,1,2000,1,4,10,12
"01","sub-control001","training",2,1,752,2,5,10,10
"01","sub-control001","training",1,2,1995,4,6,14,10
"01","sub-control001","training",1,2,1056,3,7,9,14
"01","sub-control001","training",1,2,823,5,8,8,9
"01","sub-control001","training",2,1,745,3,9,10,8
"01","sub-control001","training",3,1,2000,3,10,13,10
"01","sub-control001","training",2,1,1347,5,11,15,13
"01","sub-control001","training",1,2,902,4,12,3,15
"01","sub-control001","training",1,2,667,2,13,12,3
"01","sub-control001","training",1,1,1340,1,14,3,12
"01","sub-control001","training",3,1,2000,4,15,7,3
"01","sub-control001","training",2,2,1784,1,16,3,7
"01","sub-control001","training",1,2,1631,3,17,5,3
"01","sub-control001","training",1,2,1363,3,18,12,5
"01","sub-control001","training",1,2,994,2,19,14,12
"01","sub-control001","training",1,2,1556,5,20,5,14
"02","sub-control002","block1",1,2,917,1,1,6,4
"02","sub-control002","block1",1,2,1850,4,2,5,6
"02","sub-control002","block1",1,2,1537,4,3,11,5
"02","sub-control002","block1",1,1,1495,1,4,5,11
"02","sub-control002","block1",1,1,1548,1,5,11,5
"02","sub-control002","block1",1,2,797,5,6,12,11
"02","sub-control002","block1",2,1,1141,4,7,12,12
"02","sub-control002","block1",3,1,2000,3,8,10,12
"02","sub-control002","block1",1,2,1408,5,9,2,10
"02","sub-control002","block1",1,2,858,3,10,6,2
"02","sub-control002","block1",1,2,1352,5,11,11,6
"02","sub-control002","block1",3,1,2000,2,12,12,11
"02","sub-control002","block1",1,2,1119,3,13,5,12
"02","sub-control002","block1",1,2,871,5,14,4,5
"02","sub-control002","block1",1,2,829,4,15,13,4
"02","sub-control002","block1",1,2,1308,2,16,10,13
"02","sub-control002","block1",1,2,892,2,17,8,10
"02","sub-control002","block1",2,1,1150,2,18,13,8
"02","sub-control002","block1",1,2,1246,2,19,12,13
"02","sub-control002","block1",1,2,1176,4,20,2,12
"02","sub-control002","block2",1,2,1092,4,1,6,2
"02","sub-control002","block2",2,1,1326,4,2,6,6
"02","sub-control002","block2",1,2,1846,5,3,10,6
"02","sub-control002","block2",1,2,1334,5,4,15,10
"02","sub-control002","block2",1,1,1022,1,5,10,15
"02","sub-control002","block2",1,2,867,4,6,9,10
"02","sub-control002","block2",1,2,729,5,7,6,9
"02","sub-control002","block2",1,2,784,5,8,14,6
"02","sub-control002","block2",1,2,798,3,9,2,14
"02","sub-control002","block2",1,2,854,4,10,7,2
"02","sub-control002","block2",2,1,1343,3,11,14,7
"02","sub-control002","block2",1,2,718,2,12,3,14
"02","sub-control002","block2",1,2,801,5,13,9,3
"02","sub-control002","block2",1,2,1413,5,14,2,9
"02","sub-control002","block2",1,2,1011,2,15,12,2
"02","sub-control002","block2",2,1,847,2,16,9,12
"02","sub-control002","block2",1,2,954,2,17,11,9
"02","sub-control002","block2",1,2,825,3,18,10,11
"02","sub-control002","block2",1,1,1051,1,19,11,10
"02","sub-control002","block2",1,2,1406,2,20,6,11
"02","sub-control002","block3",1,2,1085,2,1,2,6
"02","sub-control002","block3",1,2,861,2,2,11,2
"02","sub-control002","block3",1,2,730,5,3,6,11
"02","sub-control002","block3",1,2,633,5,4,3,6
"02","sub-control002","block3",1,2,683,3,5,15,3
"02","sub-control002","block3",1,2,1154,2,6,9,15
"02","sub-control002","block3",1,2,1284,4,7,11,9
"02","sub-control002","block3",1,1,868,1,8,9,11
"02","sub-control002","block3",1,2,857,4,9,8,9
"02","sub-control002","block3",1,1,846,1,10,9,8
"02","sub-control002","block3",1,1,987,1,11,8,9
"02","sub-control002","block3",1,2,705,3,12,12,8
"02","sub-control002","block3",1,1,837,1,13,8,12
"02","sub-control002","block3",1,2,882,4,14,2,8
"02","sub-control002","block3",1,1,783,1,15,8,2
"02","sub-control002","block3",1,1,1476,1,16,2,8
"02","sub-control002","block3",1,2,611,5,17,1,2
"02","sub-control002","block3",1,2,778,4,18,3,1
"02","sub-control002","block3",1,2,950,2,19,13,3
"02","sub-control002","block3",1,2,900,5,20,6,13
"02","sub-control002","block4",1,2,1084,5,1,8,6
"02","sub-control002","block4",2,1,860,1,2,8,8
"02","sub-control002","block4",1,2,1046,5,3,1,8
"02","sub-control002","block4",1,2,1317,2,4,9,1
"02","sub-control002","block4",1,2,651,5,5,12,9
"02","sub-control002","block4",1,2,758,5,6,6,12
"02","sub-control002","block4",1,2,744,4,7,5,6
"02","sub-control002","block4",1,2,652,5,8,11,5
"02","sub-control002","block4",1,2,629,4,9,4,11
"02","sub-control002","block4",1,2,598,3,10,13,4
"02","sub-control002","block4",1,1,701,1,11,4,13
"02","sub-control002","block4",1,1,1438,1,12,13,4
"02","sub-control002","block4",1,1,1087,1,13,4,13
"02","sub-control002","block4",1,1,1362,1,14,13,4
"02","sub-control002","block4",1,2,647,2,15,15,13
"02","sub-control002","block4",1,2,930,2,16,4,15
"02","sub-control002","block4",1,2,643,5,17,3,4
"02","sub-control002","block4",1,2,620,5,18,14,3
"02","sub-control002","block4",1,2,876,5,19,4,14
"02","sub-control002","block4",1,2,860,3,20,9,4
