,All data,,,,,,,,,,,,,Removing the trials that were unclear to participants.,,,,,,,,,
,Mean,,,,,,,SD,,,,,,Mean,,,,,,SD,,,
Magic ID,N of participants,Clarity of the trick,Surprise in response to the trick,Interest in the trick,Confidence in the solution,Curiosity in the solution,　,Clarity of the trick,Surprise in response to the trick,Interest in the trick,Confidence in the solution,Curiosity in the solution,　,N of participants,Surprise in response to the trick,Interest in the trick,Confidence in the solution,Curiosity in the solution,　,Surprise in response to the trick,Interest in the trick,Confidence in the solution,Curiosity in the solution
K1,99,0.92 ,6.47 ,6.19 ,3.28 ,6.31 ,,0.27 ,2.47 ,2.47 ,2.65 ,2.81 ,,91,6.60 ,6.34 ,3.34 ,6.51 ,,2.41 ,2.41 ,2.73 ,2.74 
K2,101,0.92 ,6.19 ,6.50 ,4.21 ,6.42 ,,0.27 ,2.72 ,2.71 ,2.99 ,2.88 ,,93,6.39 ,6.61 ,4.30 ,6.47 ,,2.62 ,2.63 ,3.01 ,2.79 
K3,101,0.83 ,4.66 ,4.73 ,4.03 ,4.74 ,,0.37 ,2.27 ,2.45 ,2.50 ,2.60 ,,84,4.74 ,4.88 ,4.32 ,4.77 ,,2.22 ,2.44 ,2.55 ,2.51 
K4,101,0.90 ,6.28 ,6.49 ,3.42 ,6.56 ,,0.30 ,2.49 ,2.46 ,2.61 ,2.59 ,,91,6.45 ,6.74 ,3.37 ,6.70 ,,2.46 ,2.40 ,2.67 ,2.55 
K5,99,0.75 ,5.40 ,5.16 ,3.55 ,5.05 ,,0.43 ,2.52 ,2.55 ,2.76 ,2.78 ,,74,5.86 ,5.65 ,3.72 ,5.41 ,,2.28 ,2.36 ,2.89 ,2.68 
K6,102,0.73 ,4.94 ,5.06 ,3.16 ,5.08 ,,0.45 ,2.54 ,2.68 ,2.47 ,2.75 ,,74,5.36 ,5.64 ,3.55 ,5.46 ,,2.34 ,2.44 ,2.51 ,2.58 
K7,107,0.73 ,5.04 ,5.01 ,3.11 ,5.21 ,,0.44 ,2.50 ,2.66 ,2.54 ,2.85 ,,78,5.56 ,5.69 ,3.22 ,5.86 ,,2.45 ,2.58 ,2.45 ,2.73 
K8,99,0.47 ,3.74 ,3.56 ,3.17 ,3.73 ,,0.50 ,2.54 ,2.48 ,2.62 ,2.71 ,,47,4.62 ,4.66 ,4.55 ,4.64 ,,2.65 ,2.64 ,2.75 ,2.94 
K9,101,0.66 ,5.01 ,4.68 ,3.06 ,4.98 ,,0.47 ,2.54 ,2.64 ,2.52 ,2.89 ,,67,5.81 ,5.55 ,3.64 ,5.90 ,,2.29 ,2.38 ,2.65 ,2.59 
K10,99,0.90 ,5.11 ,5.36 ,4.13 ,5.28 ,,0.30 ,2.62 ,2.60 ,2.82 ,2.83 ,,89,5.31 ,5.53 ,4.18 ,5.60 ,,2.63 ,2.54 ,2.77 ,2.77 
K11,101,0.91 ,6.09 ,6.23 ,4.15 ,5.83 ,,0.28 ,2.42 ,2.37 ,2.84 ,2.58 ,,92,6.21 ,6.39 ,3.99 ,5.92 ,,2.39 ,2.26 ,2.88 ,2.59 
K12,99,0.86 ,6.68 ,6.78 ,4.31 ,6.37 ,,0.35 ,2.87 ,2.87 ,3.16 ,3.07 ,,85,7.20 ,7.20 ,4.14 ,6.82 ,,2.61 ,2.66 ,3.17 ,2.87 
K13,102,0.81 ,4.06 ,4.24 ,4.66 ,4.45 ,,0.39 ,2.35 ,2.41 ,2.71 ,2.76 ,,83,4.28 ,4.55 ,4.83 ,4.73 ,,2.27 ,2.35 ,2.58 ,2.66 
K14,107,0.87 ,5.51 ,5.59 ,3.36 ,6.05 ,,0.34 ,2.47 ,2.45 ,2.61 ,2.61 ,,93,5.67 ,5.85 ,3.47 ,6.23 ,,2.48 ,2.39 ,2.64 ,2.55 
