ID	stim_file	start_vol	end_vol
sub-control001	01_H35_combined_small.mp4	234	252
sub-control001	02_H10_combined_small.mp4	492	507
sub-control001	03_H16_combined_small.mp4	203	219
sub-control001	04_S9_combined_small.mp4	763	778
sub-control001	05_K4_combined_small.mp4	960	975
sub-control001	06_H7_combined_small.mp4	399	415
sub-control001	07_K2_combined_small.mp4	992	1005
sub-control001	08_S12_combined_small.mp4	4	24
sub-control001	09_S11_combined_small.mp4	1084	1095
sub-control001	10_S27_combined_small.mp4	796	811
sub-control001	11_K21_long_combined_small.mp4	640	661
sub-control001	12_H37_combined_small.mp4	268	282
sub-control001	13_Trick6_short_combined_small.mp4	431	449
sub-control001	14_K19_long_combined_small.mp4	705	720
sub-control001	15_S18_combined_small.mp4	930	945
sub-control001	16_H19_combined_small.mp4	522	533
sub-control001	17_Trick37_combined_small.mp4	361	383
sub-control001	18_Trick4_combined_small.mp4	72	95
sub-control001	19_H17_combined_small.mp4	602	625
sub-control001	20_Trick20_short_combined_small.mp4	330	342
sub-control001	21_S15_combined_small.mp4	297	312
sub-control001	22_K18_combined_small.mp4	139	149
sub-control001	23_K10_combined_small.mp4	113	124
sub-control001	24_Trick28_combined_small.mp4	826	846
sub-control001	25_S25_combined_small.mp4	888	914
sub-control001	26_S30_combined_small.mp4	548	560
sub-control001	27_S31_combined_small.mp4	735	745
sub-control001	28_K24_combined_small.mp4	861	872
sub-control001	29_H36_combined_small.mp4	1048	1065
sub-control001	30_H15_combined_small.mp4	40	55
sub-control001	31_K3_combined_small.mp4	678	690
sub-control001	32_K16_short_combined_small.mp4	1111	1126
sub-control001	33_S21_combined_small.mp4	575	585
sub-control001	34_Trick38_combined_small.mp4	1020	1033
sub-control001	35_Trick32_long_combined_small.mp4	165	188
sub-control001	36_Trick7_short_combined_small.mp4	464	474
sub-control002	01_H35_combined_small.mp4	457	475
sub-control002	02_H10_combined_small.mp4	327	342
sub-control002	03_H16_combined_small.mp4	519	535
sub-control002	04_S9_combined_small.mp4	238	253
sub-control002	05_K4_combined_small.mp4	681	696
sub-control002	06_H7_combined_small.mp4	177	193
sub-control002	07_K2_combined_small.mp4	1082	1095
sub-control002	08_S12_combined_small.mp4	550	570
sub-control002	09_S11_combined_small.mp4	1026	1037
sub-control002	10_S27_combined_small.mp4	1110	1125
sub-control002	11_K21_long_combined_small.mp4	360	381
sub-control002	12_H37_combined_small.mp4	964	978
sub-control002	13_Trick6_short_combined_small.mp4	870	888
sub-control002	14_K19_long_combined_small.mp4	427	442
sub-control002	15_S18_combined_small.mp4	711	726
sub-control002	16_H19_combined_small.mp4	1053	1064
sub-control002	17_Trick37_combined_small.mp4	71	93
sub-control002	18_Trick4_combined_small.mp4	31	54
sub-control002	19_H17_combined_small.mp4	139	162
sub-control002	20_Trick20_short_combined_small.mp4	297	309
sub-control002	21_S15_combined_small.mp4	995	1010
sub-control002	22_K18_combined_small.mp4	493	503
sub-control002	23_K10_combined_small.mp4	653	664
sub-control002	24_Trick28_combined_small.mp4	929	949
sub-control002	25_S25_combined_small.mp4	612	638
sub-control002	26_S30_combined_small.mp4	4	16
sub-control002	27_S31_combined_small.mp4	585	595
sub-control002	28_K24_combined_small.mp4	112	123
sub-control002	29_H36_combined_small.mp4	837	854
sub-control002	30_H15_combined_small.mp4	208	223
sub-control002	31_K3_combined_small.mp4	270	282
sub-control002	32_K16_short_combined_small.mp4	396	411
sub-control002	33_S21_combined_small.mp4	903	913
sub-control002	34_Trick38_combined_small.mp4	809	822
sub-control002	35_Trick32_long_combined_small.mp4	741	764
