ID	scan	duration_run_seconds	duration_scan_seconds	duration_run_TR	duration_scan_TR
sub-control001	sub-control001_task-magictrickwatching_run-1	790	790	395	395
sub-control001	sub-control001_task-magictrickwatching_run-2	728	1518	364	759
sub-control001	sub-control001_task-magictrickwatching_run-3	762	2280	381	1140
sub-control002	sub-control002_task-magictrickwatching_run-1	784	784	392	392
sub-control002	sub-control002_task-magictrickwatching_run-2	772	1556	386	778
sub-control002	sub-control002_task-magictrickwatching_run-3	722	2278	361	1139
sub-control003	sub-control003_task-magictrickwatching_run-1	758	758	379	379
sub-control003	sub-control003_task-magictrickwatching_run-2	772	1530	386	765
sub-control003	sub-control003_task-magictrickwatching_run-3	748	2278	374	1139
sub-experimental004	sub-experimental004_task-magictrickwatching_run-1	788	788	394	394
sub-experimental004	sub-experimental004_task-magictrickwatching_run-2	728	1516	364	758
sub-experimental004	sub-experimental004_task-magictrickwatching_run-3	762	2278	381	1139
sub-experimental005	sub-experimental005_task-magictrickwatching_run-1	784	784	392	392
sub-experimental005	sub-experimental005_task-magictrickwatching_run-2	772	1556	386	778
sub-experimental005	sub-experimental005_task-magictrickwatching_run-3	722	2278	361	1139
sub-experimental006	sub-experimental006_task-magictrickwatching_run-1	758	758	379	379
sub-experimental006	sub-experimental006_task-magictrickwatching_run-2	772	1530	386	765
sub-experimental006	sub-experimental006_task-magictrickwatching_run-3	748	2278	374	1139
sub-control007	sub-control007_task-magictrickwatching_run-1	700	700	350	350
sub-control007	sub-control007_task-magictrickwatching_run-2	776	1476	388	738
sub-control007	sub-control007_task-magictrickwatching_run-3	802	2278	401	1139
sub-experimental008	sub-experimental008_task-magictrickwatching_run-1	700	700	350	350
sub-experimental008	sub-experimental008_task-magictrickwatching_run-2	776	1476	388	738
sub-experimental008	sub-experimental008_task-magictrickwatching_run-3	802	2278	401	1139
sub-control009	sub-control009_task-magictrickwatching_run-1	778	778	389	389
sub-control009	sub-control009_task-magictrickwatching_run-2	740	1518	370	759
sub-control009	sub-control009_task-magictrickwatching_run-3	760	2278	380	1139
sub-experimental010	sub-experimental010_task-magictrickwatching_run-1	778	778	389	389
sub-experimental010	sub-experimental010_task-magictrickwatching_run-2	740	1518	370	759
sub-experimental010	sub-experimental010_task-magictrickwatching_run-3	760	2278	380	1139
