filename	01_H35_combined_small.mp4	02_H10_combined_small.mp4	03_H16_combined_small.mp4	04_S9_combined_small.mp4	05_K4_combined_small.mp4	06_H7_combined_small.mp4	07_K2_combined_small.mp4	08_S12_combined_small.mp4	09_S11_combined_small.mp4	10_S27_combined_small.mp4	11_K21_long_combined_small.mp4	12_H37_combined_small.mp4	13_Trick6_short_combined_small.mp4	14_K19_long_combined_small.mp4	15_S18_combined_small.mp4	16_H19_combined_small.mp4	17_Trick37_combined_small.mp4	18_Trick4_combined_small.mp4	19_H17_combined_small.mp4	20_Trick20_short_combined_small.mp4	22_K18_combined_small.mp4	21_S15_combined_small.mp4	23_K10_combined_small.mp4	24_Trick28_combined_small.mp4	25_S25_combined_small.mp4	26_S30_combined_small.mp4	27_S31_combined_small.mp4	28_K24_combined_small.mp4	29_H36_combined_small.mp4	30_H15_combined_small.mp4	31_K3_combined_small.mp4	32_K16_short_combined_small.mp4	33_S21_combined_small.mp4	34_Trick38_combined_small.mp4	35_Trick32_long_combined_small.mp4	36_Trick7_short_combined_small.mp4
cueImage	 9.05	 7.17	 7.20	 6.22	11.15	 7.08	 6.10	 8.24	 6.13	 7.03	38.10	 7.17	 8.19	 9.11	14.16	 9.21	11.18	37.15	 6.24	12.18	12.20	 7.10	 7.22	16.06	29.07	23.01	18.01	 8.15	 8.09	 7.15	 8.14	 5.23	 7.15	 8.15	10.24	 9.03
momentOfSurprise_1	40.02	18.20	19.22	29.07	21.20	15.20	19.01	24.00	16.13	33.04	22.08	14.03	21.14	19.08	17.22	21.22	24.20	40.23	41.16	30.01	17.14	34.08	 9.00	17.06	35.13	27.08	19.23	23.09	29.03	15.11	22.02	36.07	16.10	21.00	15.22	22.04
momentOfSurprise_2	NaN	25.18	25.23	NaN	NaN	22.21	26.21	32.03	26.06	NaN	42.08	19.03	32.18	23.03	23.08	NaN	47.15	NaN	NaN	NaN	NaN	NaN	11.10	25.00	48.23	NaN	NaN	NaN	NaN	NaN	27.15	NaN	24.05	26.00	18.17	24.17
momentOfSurprise_3	NaN	NaN	29.23	NaN	NaN	25.12	NaN	44.19	NaN	NaN	NaN	24.03	39.09	31.01	32.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.05	31.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.24	NaN
momentOfSurprise_4	NaN	NaN	NaN	NaN	NaN	31.22	NaN	NaN	NaN	NaN	NaN	30.22	NaN	33.23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.11	36.03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.19	NaN
momentOfSurprise_5	NaN	NaN	NaN	NaN	NaN	35.23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.05	40.15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.11	NaN
momentOfSurprise_6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.15	NaN
momentOfSurprise_7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.12	NaN
additionalMarker_momentOfSurprise_1	NaN	NaN	NaN	30.11	NaN	NaN	18.23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.23	43.19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.00	24.22	27.22	NaN	NaN	NaN	13.20	NaN	NaN	NaN
additionalMarker_momentOfSurprise_2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.07
